1699, Les Moonves
1701, CBS Corporation
1703, Satay Nadella
1704, Hasan Ismaik
1705, Hasan Ismaiks
1715, Kenneth
1716, Philippe Dauman
1724, Sheng Fu
1726, Tony Fernandes
1729, John Chambersin
1731, Joe Tucci
1733, Josh Brown
1744, Cromwell Coulson
1745, Mary BarraGiven
1748, John Martin
1752, Ricardo Salgado
1753, Salgado
1754, David Einhorn
1764, Blankfein
1765, Otis
1766, James Mitarotonda
1767, Fred ReidEditor
1768, Fred Reid
1772, Bob Sasser
1781, Sergio ErmottiZURICH
1789, Jon Stein
1792, Michael Strianese
1793, John DeSimone
1804, Peter Hancock
1808, John Idol
1810, Wednesday
1813, Todd Pedersen
1816, Rich Handler
1817, Gracia Martore
1820, Keith McMullin
1821, Murdoch
1826, Robert Griffin
1828, Mark Murray
1834, Hainer
1837, Richard Kinder
1840, Rich Kinder
1842, Richard
1845, Adam Nash
1847, Kasper Rorsted
1850, Jeffrey Immelt
1854, Jim Atchison
1855, Eric
1856, Terry
1857, Marco
1858, Jonathan Lu
1859, Bezos
1864, Kevin Reddy
1865, Immelt
1873, Garutti
1876, Stephen Sadove
1879, David Calhoun
1881, Jack Koraleski
1882, Joe Echevarria
1886, Marco Patuano
1887, Thomas Johnson
1889, Gregory Booth
1891, Paal Kibsgaard
1892, Adirek Sripratak
1893, Hakan Samuelsson
1894, Samuelsson
1896, Pyott
1897, Steve Sather
1904, Is Out
1905, Julian Geiger
1911, Mark Hurd
1914, Angelo Mozilo
1917, Brian Chesky
1923, Pascal Soriot
1925, Philip Balboni
1926, Rick Dreiling
1928, Conference Survey
1930, Norbert Reithofer
1931, Emmett Shear
1932, Disclosure
1933, Marc Caira
1935, Warren BuffettNEW
1938, Daniel Schwartz
1939, Josh Schwartz
1941, Arie Belldegrun
1946, Ralf Speth
1948, Bernardo Hees
1950, Tilman Fertitta
1954, Michael Kowalski
1958, Carsten Stendevadsaid
1959, Stephane Richard
1964, Ray Benton
1965, Steve Berry
1966, Marcelo Claure
1968, Marchionne
1969, Sheehan
1970, John Borghetti
1974, Mark Vorsatz
1977, Mark Giannantonio
1978, Ken Moelis
1982, Calls For
1986, Stephen Cooper
1987, Dan
1988, Magnus Bocker
1991, Buerger
1992, Nick Hayek
1994, Arthur
1998, Paul Deneve
2000, David Aviezer
2013, John Foraker
2014, Mike Sneesby
2015, Mike JeffriesAbercrombie
2022, Anthony Scaramucci
2029, Vitor Bento
2030, Antonio Horta
2031, Jose Honorio
2032, Marissa MayerChina
2038, Ghosn
2039, Torsten Mueller
2041, Council
2046, Mike Hopkins
2048, Charles Scharf
2049, David Barger
2053, Jack Ma
2056, John Standley
2059, Ellison
2067, Ross Levinsohn
2071, Terry Semel
2074, Ken Powell
2075, Yan Changzai
2087, Masayoshi Son
2089, Randy Garutti
2090, Meg WhitmanFor
2095, Robin Hayes
2098, Kaeser
2099, Peter Loescher
2102, Qingyong Wu
2104, Survey
2105, Frans
2108, Stephen Blyth
2109, Jane Mendillo
2111, Mark Parker
2113, Alive
2114, Harold Hamm
2116, Bernd Pischetsrieder
2117, Philip Clarke
2119, Dave Lewis
2128, Dick Weil
2131, Wu Qingyong
2132, Jeffrey Katzenberg
2136, Doug Hodge
2138, Dustin Moskovitz
2155, Nadella
2170, John Byrant
2172, Niraj Shah
2176, Lewis
2177, Clarke
2178, Weil
2186, Carly Fiorina
2192, Greg Foster
2199, Bill Stiritz
2201, Mike Pearson
2202, Lei Jun
2206, Shirl Penney
2208, Daniel Birnbaum
2219, Jesse Vollmar
2220, Michael Brown
2232, Steve Sanghi
2244, Stephen Schwarzman
2249, Enrico Cavatorta
2261, Clarence Otis
2262, For Misconduct
2265, Greg Foran
2268, Richard Plepler
2271, RICHARD PLEPLER
2272, Bryan Stockton
2273, Stockton
2274, Lisa Su
2284, Douglas McMillon
2286, Says Germany
2299, Tim CookIt
2315, Virginia
2316, Ginni Romettysaid
2318, Carlos Brito
2319, Paul Martiz
2328, Has Died
2330, Bill Ackman
2339, Patrick Doyle
2340, Satya NadellaMicrosoft
2341, Tom Gutierrez
2348, Maxime Picat
2360, Mulally
2370, Dick CostoloTwitter
2374, Takanobu Ito
2385, Peter Sands
2397, Called Out
2399, Lourenco Goncalves
2408, Chris Viehbacher
2410, Nicholas Woodman
2415, Herb Kelleher
2418, Dekkers Davidsonshot
2419, Lance
2421, Igor Sechin
2436, Maurice Levy
2443, Craig Leavitt
2446, Stephen Odell
2451, Larry FinkPARIS
2454, Yang Yuanqing
2460, Norman Chan
2461, Charles Li
2465, Laurence Fink
2468, Quits
2469, Shaygan Kheradpir
2485, Satya Nadellarecently
2491, Jenn Hyman
2498, Martin Craighead
2501, El
2502, Brent Saunders
2505, Dave Lesar
2506, Mark ZuckerbergLondon
2512, Craig Menear
2513, Michael Weil
2514, Peter
2516, Robert Niblock
2518, Comscore FREE
2519, Brian Cornell
2520, Doug McMillonrecently
2522, Brian Robert
2523, Bjorn Kjos
2524, Mario Longhi
2525, Maria
2526, Paul Raines
2529, Borje Ekholm
2533, Bernstein
2535, Scott Thomson
2539, Sechin
2546, Craig Donaldson
2547, Says Outerwear
2549, Matt Shaytold
2550, From At
2553, Sam Lee
2554, Carlos Rodriguez
2557, Peter Voser
2558, Tillerson
2561, Umberto Vergine
2571, John Boyd
2573, Rex Tillersonbecameparty
2580, David Zier
2581, Mike Jefferies
2589, Jeff Ubben
2592, Tom Werner
2593, Peter SandsStandard
2594, JimAtchison
